year,month,val
1969,3,0.12
1969,4,0.19
1969,5,0.18
1969,6,0.08
1969,7,0.09
1969,8,0.1
1969,9,0.08
1969,10,0.07
1969,11,0.19
1969,12,0.25
1970,1,0.12
1970,2,0.24
1970,3,0.03
1970,4,0.13
1970,5,0.04
1970,6,0.03
1970,7,-0.02
1970,8,-0.02
1970,9,0.01
1970,10,-0.04
1970,11,0.02
1970,12,-0.1
1971,1,0
1971,2,-0.21
1971,3,-0.14
1971,4,-0.13
1971,5,-0.09
1971,6,-0.12
1971,7,-0.06
1971,8,-0.07
1971,9,-0.04
1971,10,-0.08
1971,11,0.04
1971,12,-0.02
1972,1,-0.24
1972,2,-0.16
1972,3,0
1972,4,0.04
1972,5,0.01
1972,6,0.08
1972,7,0.06
1972,8,0.09
1972,9,0.02
1972,10,0.09
1972,11,0.08
1972,12,0.25
1973,1,0.26
1973,2,0.37
1973,3,0.33
1973,4,0.25
1973,5,0.22
1973,6,0.2
1973,7,0.12
1973,8,0.08
1973,9,0.06
1973,10,0.04
1973,11,0.02
1973,12,0.03
1974,1,-0.2
1974,2,-0.25
1974,3,-0.05
1974,4,-0.04
1974,5,-0.02
1974,6,-0.04
1974,7,0.02
1974,8,0.01
1974,9,-0.04
1974,10,-0.08
1974,11,-0.07
1974,12,-0.1
1975,1,0.12
1975,2,0.03
1975,3,0.11
1975,4,0.08
1975,5,0.07
1975,6,0.03
1975,7,0.01
1975,8,-0.07
1975,9,0.02
1975,10,-0.12
1975,11,-0.15
1975,12,-0.09
1976,1,-0.02
1976,2,-0.12
1976,3,-0.24
1976,4,-0.02
1976,5,-0.12
1976,6,-0.07
1976,7,-0.08
1976,8,-0.09
1976,9,-0.04
1976,10,-0.18
1976,11,-0.04
1976,12,0.09
1977,1,0.06
1977,2,0.24
1977,3,0.31
1977,4,0.28
1977,5,0.24
1977,6,0.25
1977,7,0.17
1977,8,0.14
1977,9,0.19
1977,10,0.12
1977,11,0.26
1977,12,0.11
1978,1,0.16
1978,2,0.13
1978,3,0.22
1978,4,0.13
1978,5,0.06
1978,6,0.05
1978,7,0.07
1978,8,0
1978,9,0.07
1978,10,0.06
1978,11,0.22
1978,12,0.15
1979,1,0.16
1979,2,0.09
1979,3,0.24
1979,4,0.11
1979,5,0.16
1979,6,0.22
1979,7,0.17
1979,8,0.23
1979,9,0.25
1979,10,0.29
1979,11,0.3
1979,12,0.5
1980,1,0.31
1980,2,0.35
1980,3,0.24
1980,4,0.31
1980,5,0.32
1980,6,0.25
1980,7,0.22
1980,8,0.2
1980,9,0.2
1980,10,0.18
1980,11,0.33
1980,12,0.27
1981,1,0.47
1981,2,0.36
1981,3,0.41
1981,4,0.36
1981,5,0.26
1981,6,0.29
1981,7,0.23
1981,8,0.24
1981,9,0.19
1981,10,0.17
1981,11,0.21
1981,12,0.42
1982,1,0.13
1982,2,0.16
1982,3,0.08
1982,4,0.21
1982,5,0.19
1982,6,0.12
1982,7,0.14
1982,8,0.14
1982,9,0.23
1982,10,0.18
1982,11,0.15
1982,12,0.44
1983,1,0.52
1983,2,0.48
1983,3,0.43
1983,4,0.29
1983,5,0.29
1983,6,0.26
1983,7,0.27
1983,8,0.32
1983,9,0.32
1983,10,0.21
1983,11,0.43
1983,12,0.27
1984,1,0.28
1984,2,0.18
1984,3,0.27
1984,4,0.15
1984,5,0.28
1984,6,0.13
1984,7,0.12
1984,8,0.17
1984,9,0.14
1984,10,0.12
1984,11,0.04
1984,12,-0.09
1985,1,0.18
1985,2,0.02
1985,3,0.19
1985,4,0.15
1985,5,0.2
1985,6,0.13
1985,7,0.08
1985,8,0.13
1985,9,0.1
1985,10,0.13
1985,11,0.12
1985,12,0.2
1986,1,0.32
1986,2,0.28
1986,3,0.3
1986,4,0.26
1986,5,0.25
1986,6,0.25
1986,7,0.17
1986,8,0.17
1986,9,0.17
1986,10,0.21
1986,11,0.15
1986,12,0.22
1987,1,0.31
1987,2,0.5
1987,3,0.25
1987,4,0.3
1987,5,0.33
1987,6,0.3
1987,7,0.42
1987,8,0.38
1987,9,0.43
1987,10,0.33
1987,11,0.33
1987,12,0.53
1988,1,0.55
1988,2,0.39
1988,3,0.48
1988,4,0.44
1988,5,0.38
1988,6,0.39
1988,7,0.34
1988,8,0.32
1988,9,0.32
1988,10,0.3
1988,11,0.23
1988,12,0.36
1989,1,0.22
1989,2,0.31
1989,3,0.34
1989,4,0.29
1989,5,0.28
1989,6,0.27
1989,7,0.3
1989,8,0.3
1989,9,0.3
1989,10,0.3
1989,11,0.25
1989,12,0.4
1990,1,0.36
1990,2,0.41
1990,3,0.73
1990,4,0.49
1990,5,0.43
1990,6,0.41
1990,7,0.35
1990,8,0.35
1990,9,0.31
1990,10,0.43
1990,11,0.48
1990,12,0.45
1991,1,0.45
1991,2,0.47
1991,3,0.37
1991,4,0.52
1991,5,0.41
1991,6,0.48
1991,7,0.45
1991,8,0.39
1991,9,0.39
1991,10,0.33
1991,11,0.32
1991,12,0.31
1992,1,0.47
1992,2,0.45
1992,3,0.43
1992,4,0.29
1992,5,0.33
1992,6,0.28
1992,7,0.14
1992,8,0.14
1992,9,0.06
1992,10,0.12
1992,11,0.09
1992,12,0.28
1993,1,0.38
1993,2,0.4
1993,3,0.42
1993,4,0.32
1993,5,0.34
1993,6,0.29
1993,7,0.23
1993,8,0.21
1993,9,0.17
1993,10,0.24
1993,11,0.09
1993,12,0.32
1994,1,0.29
1994,2,0.08
1994,3,0.36
1994,4,0.36
1994,5,0.38
1994,6,0.39
1994,7,0.32
1994,8,0.31
1994,9,0.33
1994,10,0.43
1994,11,0.45
1994,12,0.4
1995,1,0.55
1995,2,0.69
1995,3,0.46
1995,4,0.41
1995,5,0.35
1995,6,0.47
1995,7,0.43
1995,8,0.51
1995,9,0.39
1995,10,0.44
1995,11,0.46
1995,12,0.35
1996,1,0.26
1996,2,0.46
1996,3,0.32
1996,4,0.27
1996,5,0.39
1996,6,0.35
1996,7,0.32
1996,8,0.32
1996,9,0.27
1996,10,0.23
1996,11,0.28
1996,12,0.39
1997,1,0.37
1997,2,0.43
1997,3,0.46
1997,4,0.46
1997,5,0.42
1997,6,0.53
1997,7,0.51
1997,8,0.55
1997,9,0.63
1997,10,0.65
1997,11,0.59
1997,12,0.63
1998,1,0.6
1998,2,0.87
1998,3,0.64
1998,4,0.74
1998,5,0.67
1998,6,0.67
1998,7,0.74
1998,8,0.68
1998,9,0.53
1998,10,0.5
1998,11,0.41
1998,12,0.58
1999,1,0.5
1999,2,0.67
1999,3,0.37
1999,4,0.46
1999,5,0.41
1999,6,0.42
1999,7,0.4
1999,8,0.37
1999,9,0.4
1999,10,0.38
1999,11,0.37
1999,12,0.58
2000,1,0.35
2000,2,0.54
2000,3,0.56
2000,4,0.63
2000,5,0.47
2000,6,0.41
2000,7,0.39
2000,8,0.46
2000,9,0.44
2000,10,0.3
2000,11,0.26
2000,12,0.32
2001,1,0.47
2001,2,0.39
2001,3,0.63
2001,4,0.57
2001,5,0.6
2001,6,0.54
2001,7,0.56
2001,8,0.6
2001,9,0.51
